_id,date,center_name,attendance_count
41182252,2025-04-09,Arlington Community Center,92
41182253,2025-04-09,Brookline Community Center,28
41182254,2025-04-09,Ormsby Community Center,11
41182255,2025-04-09,Paulson Community Center,26
41182256,2025-04-09,Jefferson Community Center,67
41182257,2025-04-09,Magee Community Center,35
41182258,2025-04-09,West Penn Community Center,24
41182259,2025-04-09,Warrington Community Center,66
41182260,2025-04-08,Arlington Community Center,26
41182261,2025-04-08,Brookline Community Center,47
41182262,2025-04-08,Paulson Community Center,28
41182263,2025-04-08,Ormsby Community Center,16
41182264,2025-04-08,Magee Community Center,21
41182265,2025-04-08,Jefferson Community Center,35
41182266,2025-04-08,West Penn Community Center,39
41182267,2025-04-08,Warrington Community Center,75
41182268,2025-04-07,Arlington Community Center,2
41182269,2025-04-07,Brookline Community Center,37
41182270,2025-04-07,Ormsby Community Center,28
41182271,2025-04-07,Paulson Community Center,30
41182272,2025-04-07,Jefferson Community Center,82
41182273,2025-04-07,Magee Community Center,43
41182274,2025-04-07,West Penn Community Center,42
41182275,2025-04-07,Warrington Community Center,66
41182276,2025-04-05,Brookline Community Center,8
41182277,2025-04-05,Paulson Community Center,3
41182278,2025-04-05,Ormsby Community Center,10
41182279,2025-04-05,Magee Community Center,8
41182280,2025-04-05,Jefferson Community Center,41
41182281,2025-04-05,West Penn Community Center,27
41182282,2025-04-05,Warrington Community Center,10
41182283,2025-04-04,Arlington Community Center,21
41182284,2025-04-04,Brookline Community Center,21
41182285,2025-04-04,Ormsby Community Center,11
41182286,2025-04-04,Paulson Community Center,14
41182287,2025-04-04,Jefferson Community Center,39
41182288,2025-04-04,Magee Community Center,32
41182289,2025-04-04,West Penn Community Center,34
41182290,2025-04-04,Warrington Community Center,36
41182291,2025-04-03,Arlington Community Center,16
41182292,2025-04-03,Brookline Community Center,42
41182293,2025-04-03,Paulson Community Center,19
41182294,2025-04-03,Ormsby Community Center,11
41182295,2025-04-03,Magee Community Center,44
41182296,2025-04-03,Jefferson Community Center,72
41182297,2025-04-03,West Penn Community Center,27
41182298,2025-04-03,Warrington Community Center,54
41182299,2025-04-02,Arlington Community Center,78
41182300,2025-04-02,Brookline Community Center,32
41182301,2025-04-02,Ormsby Community Center,18
41182302,2025-04-02,Paulson Community Center,19
41182303,2025-04-02,Jefferson Community Center,64
41182304,2025-04-02,Magee Community Center,30
41182305,2025-04-02,West Penn Community Center,35
41182306,2025-04-02,Warrington Community Center,80
41182307,2025-04-01,Arlington Community Center,28
41182308,2025-04-01,Brookline Community Center,42
41182309,2025-04-01,Paulson Community Center,14
41182310,2025-04-01,Ormsby Community Center,22
41182311,2025-04-01,Magee Community Center,30
41182312,2025-04-01,Jefferson Community Center,69
41182313,2025-04-01,West Penn Community Center,18
41182314,2025-04-01,Warrington Community Center,60
41182315,2025-03-31,Arlington Community Center,33
41182316,2025-03-31,Brookline Community Center,58
41182317,2025-03-31,Ormsby Community Center,20
41182318,2025-03-31,Paulson Community Center,9
41182319,2025-03-31,Jefferson Community Center,13
41182320,2025-03-31,Magee Community Center,35
41182321,2025-03-31,West Penn Community Center,28
41182322,2025-03-31,Warrington Community Center,53
41182323,2025-03-29,Paulson Community Center,2
41182324,2025-03-29,Ormsby Community Center,4
41182325,2025-03-29,West Penn Community Center,12
41182326,2025-03-29,Warrington Community Center,3
41182327,2025-03-28,Arlington Community Center,17
41182328,2025-03-28,Brookline Community Center,43
41182329,2025-03-28,Ormsby Community Center,14
41182330,2025-03-28,Paulson Community Center,20
41182331,2025-03-28,West Penn Community Center,25
41182332,2025-03-28,Warrington Community Center,44
41182333,2025-03-27,Arlington Community Center,9
41182334,2025-03-27,Brookline Community Center,37
41182335,2025-03-27,Paulson Community Center,12
41182336,2025-03-27,Ormsby Community Center,15
41182337,2025-03-27,Jefferson Community Center,70
41182338,2025-03-27,West Penn Community Center,43
41182339,2025-03-27,Warrington Community Center,48
41182340,2025-03-26,Arlington Community Center,109
41182341,2025-03-26,Brookline Community Center,40
41182342,2025-03-26,Ormsby Community Center,13
41182343,2025-03-26,Paulson Community Center,20
41182344,2025-03-26,Jefferson Community Center,69
41182345,2025-03-26,Magee Community Center,3
41182346,2025-03-26,West Penn Community Center,32
41182347,2025-03-26,Warrington Community Center,76
41182348,2025-03-25,Arlington Community Center,42
41182349,2025-03-25,Brookline Community Center,72
41182350,2025-03-25,Paulson Community Center,23
41182351,2025-03-25,Ormsby Community Center,20
41182352,2025-03-25,Magee Community Center,21
41182353,2025-03-25,Jefferson Community Center,81
41182354,2025-03-25,West Penn Community Center,27
41182355,2025-03-25,Warrington Community Center,51
41182356,2025-03-24,Arlington Community Center,29
41182357,2025-03-24,Brookline Community Center,46
41182358,2025-03-24,Ormsby Community Center,12
41182359,2025-03-24,Paulson Community Center,22
41182360,2025-03-24,Jefferson Community Center,46
41182361,2025-03-24,Magee Community Center,36
41182362,2025-03-24,West Penn Community Center,31
41182363,2025-03-24,Warrington Community Center,65
41182364,2025-03-22,Arlington Community Center,2
41182365,2025-03-22,Brookline Community Center,8
41182366,2025-03-22,Paulson Community Center,8
41182367,2025-03-22,Ormsby Community Center,12
41182368,2025-03-22,Magee Community Center,9
41182369,2025-03-22,West Penn Community Center,25
41182370,2025-03-22,Warrington Community Center,9
41182371,2025-03-21,Arlington Community Center,30
41182372,2025-03-21,Brookline Community Center,48
41182373,2025-03-21,Ormsby Community Center,5
41182374,2025-03-21,Paulson Community Center,15
41182375,2025-03-21,Magee Community Center,60
41182376,2025-03-21,West Penn Community Center,35
41182377,2025-03-21,Warrington Community Center,76
41182378,2025-03-20,Arlington Community Center,3
41182379,2025-03-20,Brookline Community Center,26
41182380,2025-03-20,Paulson Community Center,10
41182381,2025-03-20,Ormsby Community Center,12
41182382,2025-03-20,Magee Community Center,35
41182383,2025-03-20,Jefferson Community Center,34
41182384,2025-03-20,West Penn Community Center,45
41182385,2025-03-20,Warrington Community Center,55
41182386,2025-03-19,Arlington Community Center,68
41182387,2025-03-19,Brookline Community Center,34
41182388,2025-03-19,Ormsby Community Center,11
41182389,2025-03-19,Paulson Community Center,16
41182390,2025-03-19,Jefferson Community Center,50
41182391,2025-03-19,Magee Community Center,24
41182392,2025-03-19,West Penn Community Center,26
41182393,2025-03-19,Warrington Community Center,92
41182394,2025-03-18,Arlington Community Center,17
41182395,2025-03-18,Brookline Community Center,39
41182396,2025-03-18,Paulson Community Center,22
41182397,2025-03-18,Ormsby Community Center,10
41182398,2025-03-18,Magee Community Center,28
41182399,2025-03-18,Jefferson Community Center,49
41182400,2025-03-18,West Penn Community Center,35
41182401,2025-03-18,Warrington Community Center,76
41182402,2025-03-17,Arlington Community Center,30
41182403,2025-03-17,Brookline Community Center,50
41182404,2025-03-17,Ormsby Community Center,11
41182405,2025-03-17,Paulson Community Center,21
41182406,2025-03-17,Jefferson Community Center,28
41182407,2025-03-17,Magee Community Center,37
41182408,2025-03-17,West Penn Community Center,47
41182409,2025-03-17,Warrington Community Center,84
41182410,2025-03-16,Warrington Community Center,1
41182411,2025-03-15,Paulson Community Center,11
41182412,2025-03-15,Ormsby Community Center,4
41182413,2025-03-15,Magee Community Center,9
41182414,2025-03-15,West Penn Community Center,32
41182415,2025-03-15,Warrington Community Center,6
41182416,2025-03-14,Arlington Community Center,13
41182417,2025-03-14,Brookline Community Center,23
41182418,2025-03-14,Ormsby Community Center,3
41182419,2025-03-14,Paulson Community Center,11
41182420,2025-03-14,Magee Community Center,45
41182421,2025-03-14,Jefferson Community Center,66
41182422,2025-03-14,West Penn Community Center,50
41182423,2025-03-14,Warrington Community Center,68
41182424,2025-03-13,Arlington Community Center,58
41182425,2025-03-13,Brookline Community Center,46
41182426,2025-03-13,Paulson Community Center,18
41182427,2025-03-13,Ormsby Community Center,7
41182428,2025-03-13,Jefferson Community Center,81
41182429,2025-03-13,Magee Community Center,23
41182430,2025-03-13,West Penn Community Center,19
41182431,2025-03-13,Warrington Community Center,49
41182432,2025-03-12,Arlington Community Center,79
41182433,2025-03-12,Brookline Community Center,37
41182434,2025-03-12,Ormsby Community Center,11
41182435,2025-03-12,Paulson Community Center,12
41182436,2025-03-12,Magee Community Center,31
41182437,2025-03-12,Jefferson Community Center,104
41182438,2025-03-12,West Penn Community Center,31
41182439,2025-03-12,Warrington Community Center,104
41182440,2025-03-11,Arlington Community Center,12
41182441,2025-03-11,Brookline Community Center,48
41182442,2025-03-11,Paulson Community Center,24
41182443,2025-03-11,Ormsby Community Center,16
41182444,2025-03-11,Jefferson Community Center,66
41182445,2025-03-11,Magee Community Center,32
41182446,2025-03-11,West Penn Community Center,23
41182447,2025-03-11,Warrington Community Center,58
41182448,2025-03-10,Arlington Community Center,14
41182449,2025-03-10,Brookline Community Center,51
41182450,2025-03-10,Ormsby Community Center,23
41182451,2025-03-10,Paulson Community Center,16
41182452,2025-03-10,Magee Community Center,31
41182453,2025-03-10,Jefferson Community Center,1
41182454,2025-03-10,West Penn Community Center,18
41182455,2025-03-10,Warrington Community Center,37
41182456,2025-03-08,Arlington Community Center,1
41182457,2025-03-08,Brookline Community Center,14
41182458,2025-03-08,Paulson Community Center,2
41182459,2025-03-08,Ormsby Community Center,4
41182460,2025-03-08,Magee Community Center,11
41182461,2025-03-08,West Penn Community Center,40
41182462,2025-03-08,Warrington Community Center,21
41182463,2025-03-07,Arlington Community Center,40
41182464,2025-03-07,Brookline Community Center,44
41182465,2025-03-07,Ormsby Community Center,10
41182466,2025-03-07,Paulson Community Center,22
41182467,2025-03-07,Magee Community Center,69
41182468,2025-03-07,West Penn Community Center,46
41182469,2025-03-07,Warrington Community Center,88
41182470,2025-03-06,Arlington Community Center,14
41182471,2025-03-06,Brookline Community Center,49
41182472,2025-03-06,Paulson Community Center,15
41182473,2025-03-06,Ormsby Community Center,19
41182474,2025-03-06,Magee Community Center,43
41182475,2025-03-06,Jefferson Community Center,59
41182476,2025-03-06,West Penn Community Center,119
41182477,2025-03-06,Warrington Community Center,53
41182478,2025-03-05,Arlington Community Center,35
41182479,2025-03-05,Brookline Community Center,36
41182480,2025-03-05,Ormsby Community Center,23
41182481,2025-03-05,Paulson Community Center,15
41182482,2025-03-05,Jefferson Community Center,66
41182483,2025-03-05,Magee Community Center,30
41182484,2025-03-05,West Penn Community Center,22
41182485,2025-03-05,Warrington Community Center,106
41182486,2025-03-04,Arlington Community Center,19
41182487,2025-03-04,Ammon Community Center,2
41182488,2025-03-04,Brookline Community Center,63
41182489,2025-03-04,Paulson Community Center,25
41182490,2025-03-04,Ormsby Community Center,9
41182491,2025-03-04,Magee Community Center,44
41182492,2025-03-04,Jefferson Community Center,74
41182493,2025-03-04,West Penn Community Center,59
41182494,2025-03-04,Warrington Community Center,91
41182495,2025-03-03,Ammon Community Center,16
41182496,2025-03-03,Arlington Community Center,43
41182497,2025-03-03,Brookline Community Center,55
41182498,2025-03-03,Ormsby Community Center,17
41182499,2025-03-03,Paulson Community Center,21
41182500,2025-03-03,Jefferson Community Center,44
41182501,2025-03-03,Magee Community Center,42
41182502,2025-03-03,West Penn Community Center,65
41182503,2025-03-03,Warrington Community Center,69
41182504,2025-03-01,Arlington Community Center,7
41182505,2025-03-01,Paulson Community Center,3
41182506,2025-03-01,Ormsby Community Center,10
41182507,2025-03-01,Magee Community Center,3
41182508,2025-03-01,West Penn Community Center,15
41182509,2025-03-01,Warrington Community Center,19
41182510,2025-02-28,Arlington Community Center,45
41182511,2025-02-28,Brookline Community Center,27
41182512,2025-02-28,Ormsby Community Center,22
41182513,2025-02-28,Paulson Community Center,14
41182514,2025-02-28,Magee Community Center,50
41182515,2025-02-28,Jefferson Community Center,36
41182516,2025-02-28,West Penn Community Center,49
41182517,2025-02-28,Warrington Community Center,25
41182518,2025-02-27,Arlington Community Center,38
41182519,2025-02-27,Brookline Community Center,53
41182520,2025-02-27,Paulson Community Center,18
41182521,2025-02-27,Ormsby Community Center,14
41182522,2025-02-27,Jefferson Community Center,40
41182523,2025-02-27,Magee Community Center,51
41182524,2025-02-27,West Penn Community Center,161
41182525,2025-02-27,Warrington Community Center,70
41182526,2025-02-26,Arlington Community Center,41
41182527,2025-02-26,Brookline Community Center,39
41182528,2025-02-26,Ormsby Community Center,7
41182529,2025-02-26,Paulson Community Center,11
41182530,2025-02-26,Magee Community Center,30
41182531,2025-02-26,Jefferson Community Center,62
41182532,2025-02-26,West Penn Community Center,148
41182533,2025-02-26,Warrington Community Center,57
41182534,2025-02-25,Arlington Community Center,58
41182535,2025-02-25,Brookline Community Center,44
41182536,2025-02-25,Paulson Community Center,19
41182537,2025-02-25,Ormsby Community Center,10
41182538,2025-02-25,Jefferson Community Center,58
41182539,2025-02-25,Magee Community Center,27
41182540,2025-02-25,West Penn Community Center,62
41182541,2025-02-25,Warrington Community Center,90
41182542,2025-02-24,Arlington Community Center,34
41182543,2025-02-24,Brookline Community Center,50
41182544,2025-02-24,Paulson Community Center,24
41182545,2025-02-24,Magee Community Center,44
41182546,2025-02-24,Jefferson Community Center,65
41182547,2025-02-24,West Penn Community Center,50
41182548,2025-02-24,Warrington Community Center,62
41182549,2025-02-23,Warrington Community Center,3
41182550,2025-02-22,Brookline Community Center,12
41182551,2025-02-22,Paulson Community Center,3
41182552,2025-02-22,Magee Community Center,4
41182553,2025-02-22,West Penn Community Center,59
41182554,2025-02-22,Warrington Community Center,17
41182555,2025-02-21,Arlington Community Center,20
41182556,2025-02-21,Brookline Community Center,31
41182557,2025-02-21,Paulson Community Center,15
41182558,2025-02-21,Magee Community Center,57
41182559,2025-02-21,West Penn Community Center,6
41182560,2025-02-21,Warrington Community Center,67
41182561,2025-02-20,Arlington Community Center,14
41182562,2025-02-20,Brookline Community Center,29
41182563,2025-02-20,Paulson Community Center,23
41182564,2025-02-20,Ormsby Community Center,9
41182565,2025-02-20,Magee Community Center,49
41182566,2025-02-20,Jefferson Community Center,60
41182567,2025-02-20,West Penn Community Center,63
41182568,2025-02-20,Warrington Community Center,53
41182569,2025-02-19,Arlington Community Center,47
41182570,2025-02-19,Brookline Community Center,41
41182571,2025-02-19,Ormsby Community Center,8
41182572,2025-02-19,Paulson Community Center,20
41182573,2025-02-19,Jefferson Community Center,65
41182574,2025-02-19,Magee Community Center,23
41182575,2025-02-19,West Penn Community Center,9
41182576,2025-02-19,Warrington Community Center,69
41182577,2025-02-18,Arlington Community Center,30
41182578,2025-02-18,Brookline Community Center,48
41182579,2025-02-18,Paulson Community Center,18
41182580,2025-02-18,Ormsby Community Center,11
41182581,2025-02-18,Magee Community Center,46
41182582,2025-02-18,Jefferson Community Center,53
41182583,2025-02-18,West Penn Community Center,37
41182584,2025-02-18,Warrington Community Center,68
41182585,2025-02-17,Arlington Community Center,28
41182586,2025-02-17,Brookline Community Center,25
41182587,2025-02-17,Ormsby Community Center,8
41182588,2025-02-17,Paulson Community Center,11
41182589,2025-02-17,Magee Community Center,16
41182590,2025-02-17,Warrington Community Center,46
41182591,2025-02-16,Warrington Community Center,4
41182592,2025-02-15,Brookline Community Center,6
41182593,2025-02-15,Paulson Community Center,5
41182594,2025-02-15,Ormsby Community Center,8
41182595,2025-02-15,Magee Community Center,3
41182596,2025-02-15,West Penn Community Center,156
41182597,2025-02-15,Warrington Community Center,2
41182598,2025-02-14,Arlington Community Center,21
41182599,2025-02-14,Brookline Community Center,25
41182600,2025-02-14,Ormsby Community Center,6
41182601,2025-02-14,Paulson Community Center,27
41182602,2025-02-14,Magee Community Center,39
41182603,2025-02-14,Jefferson Community Center,25
41182604,2025-02-14,West Penn Community Center,44
41182605,2025-02-14,Warrington Community Center,19
41182606,2025-02-13,Arlington Community Center,44
41182607,2025-02-13,Brookline Community Center,37
41182608,2025-02-13,Paulson Community Center,15
41182609,2025-02-13,Ormsby Community Center,15
41182610,2025-02-13,Jefferson Community Center,50
41182611,2025-02-13,Magee Community Center,27
41182612,2025-02-13,Warrington Community Center,50
41182613,2025-02-12,Arlington Community Center,36
41182614,2025-02-12,Brookline Community Center,36
41182615,2025-02-12,Ormsby Community Center,12
41182616,2025-02-12,Paulson Community Center,21
41182617,2025-02-12,Magee Community Center,34
41182618,2025-02-12,Jefferson Community Center,60
41182619,2025-02-12,Warrington Community Center,59
41182620,2025-02-11,Arlington Community Center,70
41182621,2025-02-11,Brookline Community Center,41
41182622,2025-02-11,Paulson Community Center,15
41182623,2025-02-11,Ormsby Community Center,20
41182624,2025-02-11,Jefferson Community Center,52
41182625,2025-02-11,Magee Community Center,27
41182626,2025-02-11,Warrington Community Center,40
41182627,2025-02-10,Arlington Community Center,31
41182628,2025-02-10,Brookline Community Center,36
41182629,2025-02-10,Ormsby Community Center,12
41182630,2025-02-10,Paulson Community Center,19
41182631,2025-02-10,Magee Community Center,40
41182632,2025-02-10,Jefferson Community Center,26
41182633,2025-02-10,Warrington Community Center,47
41182634,2025-02-08,Arlington Community Center,6
41182635,2025-02-08,Brookline Community Center,9
41182636,2025-02-08,Paulson Community Center,4
41182637,2025-02-08,Ormsby Community Center,8
41182638,2025-02-08,Magee Community Center,7
41182639,2025-02-08,West Penn Community Center,85
41182640,2025-02-08,Warrington Community Center,9
41182641,2025-02-07,Arlington Community Center,56
41182642,2025-02-07,Brookline Community Center,37
41182643,2025-02-07,Ormsby Community Center,10
41182644,2025-02-07,Paulson Community Center,21
41182645,2025-02-07,Magee Community Center,57
41182646,2025-02-07,West Penn Community Center,56
41182647,2025-02-07,Warrington Community Center,40
41182648,2025-02-06,Arlington Community Center,2
41182649,2025-02-06,Brookline Community Center,36
41182650,2025-02-06,Paulson Community Center,17
41182651,2025-02-06,Ormsby Community Center,13
41182652,2025-02-06,Magee Community Center,45
41182653,2025-02-06,Jefferson Community Center,50
41182654,2025-02-06,West Penn Community Center,96
41182655,2025-02-06,Warrington Community Center,46
41182656,2025-02-05,Arlington Community Center,42
41182657,2025-02-05,Brookline Community Center,30
41182658,2025-02-05,Ormsby Community Center,13
41182659,2025-02-05,Paulson Community Center,1
41182660,2025-02-05,Jefferson Community Center,51
41182661,2025-02-05,Magee Community Center,25
41182662,2025-02-05,West Penn Community Center,64
41182663,2025-02-05,Warrington Community Center,45
41182664,2025-02-04,Arlington Community Center,31
41182665,2025-02-04,Brookline Community Center,44
41182666,2025-02-04,Paulson Community Center,24
41182667,2025-02-04,Ormsby Community Center,9
41182668,2025-02-04,Magee Community Center,43
41182669,2025-02-04,Jefferson Community Center,61
41182670,2025-02-04,West Penn Community Center,67
41182671,2025-02-04,Warrington Community Center,51
41182672,2025-02-03,Arlington Community Center,21
41182673,2025-02-03,Brookline Community Center,46
41182674,2025-02-03,Ormsby Community Center,11
41182675,2025-02-03,Paulson Community Center,20
41182676,2025-02-03,Jefferson Community Center,37
41182677,2025-02-03,Magee Community Center,30
41182678,2025-02-03,West Penn Community Center,77
41182679,2025-02-03,Warrington Community Center,60
41182680,2025-02-02,Warrington Community Center,4
41182681,2025-02-01,Brookline Community Center,10
41182682,2025-02-01,Paulson Community Center,2
41182683,2025-02-01,Ormsby Community Center,12
41182684,2025-02-01,Magee Community Center,8
41182685,2025-02-01,West Penn Community Center,32
41182686,2025-02-01,Warrington Community Center,9
41182687,2025-01-31,Arlington Community Center,34
41182688,2025-01-31,Brookline Community Center,32
41182689,2025-01-31,Ormsby Community Center,7
41182690,2025-01-31,Paulson Community Center,10
41182691,2025-01-31,Magee Community Center,28
41182692,2025-01-31,Jefferson Community Center,47
41182693,2025-01-31,West Penn Community Center,64
41182694,2025-01-31,Warrington Community Center,31
41182695,2025-01-30,Arlington Community Center,58
41182696,2025-01-30,Brookline Community Center,29
41182697,2025-01-30,Paulson Community Center,21
41182698,2025-01-30,Ormsby Community Center,6
41182699,2025-01-30,Jefferson Community Center,58
41182700,2025-01-30,Magee Community Center,60
41182701,2025-01-30,West Penn Community Center,85
41182702,2025-01-30,Warrington Community Center,32
41182703,2025-01-29,Arlington Community Center,45
41182704,2025-01-29,Brookline Community Center,32
41182705,2025-01-29,Ormsby Community Center,14
41182706,2025-01-29,Paulson Community Center,11
41182707,2025-01-29,Magee Community Center,28
41182708,2025-01-29,Jefferson Community Center,64
41182709,2025-01-29,West Penn Community Center,62
41182710,2025-01-29,Warrington Community Center,58
41182711,2025-01-28,Arlington Community Center,37
41182712,2025-01-28,Brookline Community Center,36
41182713,2025-01-28,Paulson Community Center,22
41182714,2025-01-28,Ormsby Community Center,5
41182715,2025-01-28,Jefferson Community Center,77
41182716,2025-01-28,Magee Community Center,49
41182717,2025-01-28,West Penn Community Center,63
41182718,2025-01-28,Warrington Community Center,49
41182719,2025-01-27,Arlington Community Center,20
41182720,2025-01-27,Brookline Community Center,45
41182721,2025-01-27,Ormsby Community Center,21
41182722,2025-01-27,Paulson Community Center,23
41182723,2025-01-27,Magee Community Center,18
41182724,2025-01-27,Jefferson Community Center,59
41182725,2025-01-27,West Penn Community Center,73
41182726,2025-01-27,Warrington Community Center,36
41182727,2025-01-26,Warrington Community Center,5
41182728,2025-01-25,Brookline Community Center,6
41182729,2025-01-25,Paulson Community Center,2
41182730,2025-01-25,Ormsby Community Center,10
41182731,2025-01-25,Magee Community Center,7
41182732,2025-01-25,West Penn Community Center,194
41182733,2025-01-25,Warrington Community Center,16
41182734,2025-01-24,Arlington Community Center,9
41182735,2025-01-24,Ammon Community Center,4
41182736,2025-01-24,Brookline Community Center,28
41182737,2025-01-24,Ormsby Community Center,16
41182738,2025-01-24,Paulson Community Center,20
41182739,2025-01-24,Magee Community Center,38
41182740,2025-01-24,West Penn Community Center,50
41182741,2025-01-24,Warrington Community Center,18
41182742,2025-01-23,Ammon Community Center,1
41182743,2025-01-23,Arlington Community Center,6
41182744,2025-01-23,Brookline Community Center,38
41182745,2025-01-23,Paulson Community Center,11
41182746,2025-01-23,Ormsby Community Center,11
41182747,2025-01-23,Magee Community Center,44
41182748,2025-01-23,West Penn Community Center,119
41182749,2025-01-22,Arlington Community Center,9
41182750,2025-01-22,Ammon Community Center,1
41182751,2025-01-22,Brookline Community Center,36
41182752,2025-01-22,Ormsby Community Center,16
41182753,2025-01-22,Paulson Community Center,2
41182754,2025-01-22,Magee Community Center,1
41182755,2025-01-22,West Penn Community Center,50
41182756,2025-01-21,Ammon Community Center,1
41182757,2025-01-21,Arlington Community Center,13
41182758,2025-01-21,Brookline Community Center,30
41182759,2025-01-21,Paulson Community Center,10
41182760,2025-01-21,Ormsby Community Center,14
41182761,2025-01-21,West Penn Community Center,45
41182762,2025-01-21,Warrington Community Center,14
41182763,2025-01-18,Magee Community Center,7
41182764,2025-01-18,West Penn Community Center,130
41182765,2025-01-17,Arlington Community Center,16
41182766,2025-01-17,Ammon Community Center,3
41182767,2025-01-17,Brookline Community Center,30
41182768,2025-01-17,Ormsby Community Center,8
41182769,2025-01-17,Paulson Community Center,22
41182770,2025-01-17,Magee Community Center,52
41182771,2025-01-17,Jefferson Community Center,61
41182772,2025-01-17,West Penn Community Center,58
41182773,2025-01-17,Warrington Community Center,39
41182774,2025-01-16,Ammon Community Center,1
41182775,2025-01-16,Arlington Community Center,21
41182776,2025-01-16,Brookline Community Center,41
41182777,2025-01-16,Paulson Community Center,7
41182778,2025-01-16,Ormsby Community Center,12
41182779,2025-01-16,Jefferson Community Center,28
41182780,2025-01-16,Magee Community Center,36
41182781,2025-01-16,West Penn Community Center,20
41182782,2025-01-16,Warrington Community Center,46
41182783,2025-01-15,Arlington Community Center,29
41182784,2025-01-15,Brookline Community Center,77
41182785,2025-01-15,Ormsby Community Center,15
41182786,2025-01-15,Paulson Community Center,12
41182787,2025-01-15,Magee Community Center,15
41182788,2025-01-15,Jefferson Community Center,58
41182789,2025-01-15,West Penn Community Center,212
41182790,2025-01-15,Warrington Community Center,61
41182791,2025-01-14,Arlington Community Center,1
41182792,2025-01-14,Brookline Community Center,42
41182793,2025-01-14,Ormsby Community Center,10
41182794,2025-01-14,Jefferson Community Center,30
41182795,2025-01-14,Magee Community Center,21
41182796,2025-01-14,West Penn Community Center,57
41182797,2025-01-14,Warrington Community Center,38
41182798,2025-01-13,Arlington Community Center,35
41182799,2025-01-13,Ammon Community Center,4
41182800,2025-01-13,Brookline Community Center,47
41182801,2025-01-13,Ormsby Community Center,17
41182802,2025-01-13,Paulson Community Center,25
41182803,2025-01-13,Magee Community Center,26
41182804,2025-01-13,Jefferson Community Center,65
41182805,2025-01-13,West Penn Community Center,100
41182806,2025-01-13,Warrington Community Center,44
41182807,2025-01-11,Paulson Community Center,1
41182808,2025-01-11,Ormsby Community Center,8
41182809,2025-01-11,Magee Community Center,2
41182810,2025-01-11,West Penn Community Center,154
41182811,2025-01-11,Warrington Community Center,3
41182812,2025-01-10,Ammon Community Center,2
41182813,2025-01-10,Arlington Community Center,18
41182814,2025-01-10,Brookline Community Center,36
41182815,2025-01-10,Ormsby Community Center,10
41182816,2025-01-10,Paulson Community Center,26
41182817,2025-01-10,Magee Community Center,52
41182818,2025-01-10,Jefferson Community Center,51
41182819,2025-01-10,West Penn Community Center,90
41182820,2025-01-10,Warrington Community Center,38
41182821,2025-01-09,Arlington Community Center,77
41182822,2025-01-09,Brookline Community Center,52
41182823,2025-01-09,Paulson Community Center,33
41182824,2025-01-09,Ormsby Community Center,11
41182825,2025-01-09,Magee Community Center,57
41182826,2025-01-09,West Penn Community Center,160
41182827,2025-01-09,Warrington Community Center,46
41182828,2025-01-08,Brookline Community Center,38
41182829,2025-01-08,Ormsby Community Center,21
41182830,2025-01-08,Paulson Community Center,12
41182831,2025-01-08,Magee Community Center,26
41182832,2025-01-08,Jefferson Community Center,48
41182833,2025-01-08,West Penn Community Center,365
41182834,2025-01-08,Warrington Community Center,58
41182835,2025-01-07,Arlington Community Center,11
41182836,2025-01-07,Brookline Community Center,56
41182837,2025-01-07,Paulson Community Center,17
41182838,2025-01-07,Ormsby Community Center,12
41182839,2025-01-07,Jefferson Community Center,32
41182840,2025-01-07,Magee Community Center,22
41182841,2025-01-07,West Penn Community Center,209
41182842,2025-01-07,Warrington Community Center,41
41182843,2025-01-06,West Penn Community Center,7
41182844,2025-01-06,Warrington Community Center,2
41182845,2025-01-04,Brookline Community Center,13
41182846,2025-01-04,Ormsby Community Center,2
41182847,2025-01-04,Magee Community Center,19
41182848,2025-01-04,West Penn Community Center,40
41182849,2025-01-04,Warrington Community Center,2
41182850,2025-01-03,Arlington Community Center,13
41182851,2025-01-03,Brookline Community Center,28
41182852,2025-01-03,Ormsby Community Center,4
41182853,2025-01-03,Paulson Community Center,18
41182854,2025-01-03,Magee Community Center,62
41182855,2025-01-03,Jefferson Community Center,25
41182856,2025-01-03,Warrington Community Center,22
41182857,2025-01-03,West Penn Community Center,60
41182858,2025-01-02,Arlington Community Center,2
41182859,2025-01-02,Brookline Community Center,48
41182860,2025-01-02,Paulson Community Center,18
41182861,2025-01-02,Ormsby Community Center,20
41182862,2025-01-02,Jefferson Community Center,26
41182863,2025-01-02,Magee Community Center,23
41182864,2025-01-02,West Penn Community Center,71
41182865,2025-01-02,Warrington Community Center,38
41182866,2024-12-31,Brookline Community Center,24
41182867,2024-12-31,Ormsby Community Center,1
41182868,2024-12-31,Paulson Community Center,7
41182869,2024-12-31,Magee Community Center,7
41182870,2024-12-31,Warrington Community Center,8
41182871,2024-12-31,West Penn Community Center,9
41182872,2024-12-30,Arlington Community Center,9
41182873,2024-12-30,Brookline Community Center,27
41182874,2024-12-30,Paulson Community Center,10
41182875,2024-12-30,Ormsby Community Center,9
41182876,2024-12-30,Magee Community Center,10
41182877,2024-12-30,West Penn Community Center,27
41182878,2024-12-30,Warrington Community Center,57
41182879,2024-12-27,Arlington Community Center,9
41182880,2024-12-27,Brookline Community Center,44
41182881,2024-12-27,Ormsby Community Center,9
41182882,2024-12-27,Paulson Community Center,3
41182883,2024-12-27,Magee Community Center,47
41182884,2024-12-27,Warrington Community Center,11
